respondent_id,xyz_vaccine,seasonal_vaccine
26837,0.16,0.08
26838,0.14,0.55
26839,0.21,0.43
26840,0.12,0.15
26841,0.44,0.63
26842,0.09,0.1
26843,0.03,0.06
26844,0.08,0.36
26845,0.05,0.63
26846,0.04,0.79
26847,0.24,0.19
26848,0.09,0.68
26849,0.36,0.56
26850,0.5,0.6
26851,0.04,0.04
26852,0.06,0.05
26853,0.2,0.44
26854,0.03,0.05
26855,0.37,0.84
26856,0.15,0.12
26857,0.41,0.42
26858,0.19,0.4
26859,0.0,0.08
26860,0.25,0.28
26861,0.06,0.17
26862,0.04,0.35
26863,0.07,0.41
26864,0.22,0.37
26865,0.04,0.07
26866,0.12,0.64
26867,0.12,0.27
26868,0.75,0.75
26869,0.02,0.22
26870,0.69,0.88
26871,0.03,0.03
26872,0.11,0.29
26873,0.14,0.62
26874,0.08,0.27
26875,0.34,0.72
26876,0.18,0.24
26877,0.17,0.21
26878,0.11,0.26
26879,0.03,0.07
26880,0.09,0.17
26881,0.01,0.08
26882,0.02,0.04
26883,0.1,0.26
26884,0.12,0.11
26885,0.13,0.55
26886,0.04,0.82
26887,0.53,0.89
26888,0.9,0.89
26889,0.01,0.16
26890,0.14,0.56
26891,0.65,0.82
26892,0.21,0.57
26893,0.08,0.09
26894,0.32,0.32
26895,0.08,0.83
26896,0.04,0.04
26897,0.08,0.48
26898,0.26,0.62
26899,0.01,0.07
26900,0.09,0.24
26901,0.07,0.43
26902,0.13,0.86
26903,0.13,0.15
26904,0.06,0.35
26905,0.36,0.75
26906,0.08,0.46
26907,0.05,0.49
26908,0.09,0.64
26909,0.31,0.31
26910,0.13,0.36
26911,0.09,0.09
26912,0.51,0.71
26913,0.59,0.8
26914,0.03,0.09
26915,0.16,0.55
26916,0.14,0.14
26917,0.06,0.19
26918,0.86,1.0
26919,0.15,0.47
26920,0.01,0.07
26921,0.27,0.77
26922,0.08,0.82
26923,0.17,0.45
26924,0.85,0.99
26925,0.21,0.72
26926,0.46,0.5
26927,0.54,0.62
26928,0.19,0.46
26929,0.13,0.38
26930,0.62,0.9
26931,0.16,0.28
26932,0.11,0.91
26933,0.02,0.54
26934,0.35,0.66
26935,0.15,0.45
26936,0.37,0.32
26937,0.2,0.83
26938,0.02,0.05
26939,0.03,0.1
26940,0.08,0.2
26941,0.08,0.32
26942,0.58,0.78
26943,0.16,0.66
26944,0.03,0.12
26945,0.02,0.42
26946,0.18,0.61
26947,0.28,0.5
26948,0.08,0.06
26949,0.06,0.15
26950,0.04,0.49
26951,0.09,0.5
26952,0.8,0.87
26953,0.43,0.86
26954,0.0,0.12
26955,0.13,0.73
26956,0.18,0.19
26957,0.08,0.9
26958,0.24,0.67
26959,0.09,0.23
26960,0.04,0.09
26961,0.21,0.45
26962,0.2,0.7
26963,0.18,0.48
26964,0.04,0.2
26965,0.54,0.87
26966,0.06,0.15
26967,0.35,0.49
26968,0.07,0.81
26969,0.2,0.17
26970,0.71,0.6
26971,0.06,0.12
26972,0.09,0.09
26973,0.13,0.26
26974,0.27,0.31
26975,0.16,0.63
26976,0.71,0.51
26977,0.2,0.34
26978,0.06,0.68
26979,0.57,0.83
26980,0.05,0.14
26981,0.1,0.38
26982,0.65,0.87
26983,0.16,0.41
26984,0.05,0.09
26985,0.04,0.1
26986,0.04,0.49
26987,0.03,0.36
26988,0.02,0.13
26989,0.3,0.74
26990,0.07,0.12
26991,0.18,0.51
26992,0.32,0.54
26993,0.04,0.91
26994,0.17,0.39
26995,0.15,0.39
26996,0.35,0.34
26997,0.02,0.05
26998,0.05,0.08
26999,0.14,0.44
27000,0.03,0.4
27001,0.12,0.88
27002,0.08,0.33
27003,0.04,0.09
27004,0.28,0.33
27005,0.55,0.8
27006,0.71,0.84
27007,0.06,0.22
27008,0.08,0.15
27009,0.02,0.31
27010,0.02,0.13
27011,0.16,0.25
27012,0.28,0.49
27013,0.1,0.51
27014,0.05,0.33
27015,0.24,0.15
27016,0.11,0.31
27017,0.58,0.89
27018,0.01,0.29
27019,0.89,0.97
27020,0.35,0.39
27021,0.24,0.6
27022,0.1,0.33
27023,0.1,0.19
27024,0.13,0.33
27025,0.26,0.17
27026,0.03,0.37
27027,0.03,0.77
27028,0.51,0.81
27029,0.21,0.31
27030,0.4,0.35
27031,0.54,0.87
27032,0.17,0.62
27033,0.33,0.61
27034,0.11,0.58
27035,0.23,0.31
27036,0.15,0.63
27037,0.65,0.66
27038,0.0,0.03
27039,0.51,0.91
27040,0.15,0.42
27041,0.08,0.71
27042,0.08,0.48
27043,0.45,0.69
27044,0.03,0.08
27045,0.04,0.54
27046,0.03,0.14
27047,0.29,0.54
27048,0.1,0.58
27049,0.4,0.78
27050,0.09,0.69
27051,0.21,0.33
27052,0.05,0.23
27053,0.82,0.93
27054,0.06,0.02
27055,0.12,0.92
27056,0.11,0.11
27057,0.05,0.1
27058,0.8,0.89
27059,0.11,0.12
27060,0.14,0.29
27061,0.06,0.4
27062,0.1,0.42
27063,0.03,0.45
27064,0.08,0.47
27065,0.23,0.49
27066,0.13,0.41
27067,0.61,0.92
27068,0.56,0.87
27069,0.59,0.9
27070,0.03,0.05
27071,0.08,0.12
27072,0.25,0.51
27073,0.06,0.86
27074,0.13,0.29
27075,0.61,0.74
27076,0.55,0.66
27077,0.05,0.19
27078,0.14,0.85
27079,0.22,0.85
27080,0.09,0.22
27081,0.13,0.79
27082,0.2,0.39
27083,0.14,0.32
27084,0.72,0.79
27085,0.03,0.11
27086,0.04,0.12
27087,0.03,0.2
27088,0.39,0.66
27089,0.11,0.16
27090,0.43,0.78
27091,0.55,0.41
27092,0.12,0.14
27093,0.16,0.27
27094,0.02,0.12
27095,0.07,0.6
27096,0.11,0.22
27097,0.52,0.67
27098,0.7,0.86
27099,0.24,0.5
27100,0.11,0.73
27101,0.06,0.54
27102,0.14,0.7
27103,0.04,0.05
27104,0.42,0.65
27105,0.14,0.47
27106,0.55,0.79
27107,0.54,0.79
27108,0.29,0.37
27109,0.12,0.15
27110,0.05,0.27
27111,0.12,0.39
27112,0.45,0.56
27113,0.1,0.11
27114,0.05,0.16
27115,0.56,0.8
27116,0.08,0.87
27117,0.02,0.15
27118,0.03,0.56
27119,0.16,0.22
27120,0.3,0.93
27121,0.06,0.57
27122,0.05,0.48
27123,0.09,0.21
27124,0.04,0.12
27125,0.03,0.03
27126,0.15,0.16
27127,0.07,0.1
27128,0.2,0.41
27129,0.3,0.51
27130,0.1,0.33
27131,0.06,0.13
27132,0.46,0.86
27133,0.15,0.58
27134,0.87,0.99
27135,0.04,0.64
27136,0.07,0.55
27137,0.16,0.27
27138,0.14,0.47
27139,0.08,0.18
27140,0.82,0.97
27141,0.66,0.73
27142,0.03,0.25
27143,0.35,0.41
27144,0.07,0.16
27145,0.6,0.65
27146,0.13,0.86
27147,0.13,0.2
27148,0.05,0.15
27149,0.19,0.25
27150,0.47,0.81
27151,0.19,0.78
27152,0.06,0.18
27153,0.25,0.76
27154,0.64,0.83
27155,0.17,0.76
27156,0.03,0.19
27157,0.06,0.5
27158,0.02,0.3
27159,0.03,0.08
27160,0.17,0.35
27161,0.43,0.59
27162,0.15,0.88
27163,0.5,0.43
27164,0.13,0.17
27165,0.54,0.63
27166,0.24,0.31
27167,0.13,0.58
27168,0.2,0.6
27169,0.39,0.7
27170,0.66,0.87
27171,0.1,0.22
27172,0.08,0.71
27173,0.34,0.5
27174,0.07,0.08
27175,0.05,0.14
27176,0.68,0.91
27177,0.76,0.74
27178,0.01,0.23
27179,0.08,0.24
27180,0.2,0.38
27181,0.06,0.75
27182,0.5,0.74
27183,0.01,0.7
27184,0.2,0.38
27185,0.42,0.7
27186,0.28,0.83
27187,0.15,0.32
27188,0.06,0.37
27189,0.06,0.59
27190,0.35,0.84
27191,0.29,0.94
27192,0.32,0.68
27193,0.02,0.17
27194,0.17,0.43
27195,0.04,0.22
27196,0.24,0.31
27197,0.13,0.58
27198,0.63,0.86
27199,0.14,0.3
27200,0.25,0.45
27201,0.49,0.74
27202,0.08,0.29
27203,0.01,0.23
27204,0.04,0.02
27205,0.1,0.29
27206,0.27,0.33
27207,0.13,0.14
27208,0.76,0.8
27209,0.22,0.28
27210,0.16,0.23
27211,0.14,0.31
27212,0.34,0.81
27213,0.33,0.57
27214,0.04,0.16
27215,0.08,0.61
27216,0.27,0.9
27217,0.15,0.3
27218,0.49,0.72
27219,0.5,0.65
27220,0.34,0.38
27221,0.14,0.73
27222,0.21,0.67
27223,0.02,0.63
27224,0.13,0.55
27225,0.15,0.25
27226,0.05,0.26
27227,0.11,0.33
27228,0.63,0.75
27229,0.46,0.79
27230,0.35,0.85
27231,0.45,0.82
27232,0.12,0.45
27233,0.29,0.38
27234,0.04,0.14
27235,0.81,0.94
27236,0.16,0.89
27237,0.65,0.78
27238,0.42,0.84
27239,0.33,0.26
27240,0.08,0.36
27241,0.08,0.13
27242,0.26,0.67
27243,0.01,0.14
27244,0.01,0.11
27245,0.28,0.49
27246,0.7,0.9
27247,0.25,0.96
27248,0.27,0.63
27249,0.11,0.57
27250,0.04,0.13
27251,0.04,0.38
27252,0.24,0.47
27253,0.05,0.75
27254,0.86,0.99
27255,0.21,0.27
27256,0.71,0.9
27257,0.42,0.53
27258,0.25,0.73
27259,0.44,0.81
27260,0.18,0.39
27261,0.22,0.76
27262,0.1,0.36
27263,0.11,0.09
27264,0.1,0.17
27265,0.11,0.3
27266,0.19,0.36
27267,0.21,0.58
27268,0.08,0.29
27269,0.6,0.6
27270,0.05,0.12
27271,0.07,0.21
27272,0.07,0.53
27273,0.08,0.25
27274,0.05,0.44
27275,0.19,0.42
27276,0.05,0.17
27277,0.03,0.88
27278,0.14,0.42
27279,0.13,0.35
27280,0.44,0.45
27281,0.1,0.52
27282,0.13,0.87
27283,0.06,0.13
27284,0.25,0.5
27285,0.03,0.38
27286,0.18,0.53
27287,0.23,0.71
27288,0.58,0.78
27289,0.23,0.56
27290,0.04,0.12
27291,0.49,0.7
27292,0.1,0.5
27293,0.09,0.91
27294,0.06,0.03
27295,0.51,0.87
27296,0.13,0.87
27297,0.12,0.78
27298,0.03,0.32
27299,0.3,0.7
27300,0.1,0.68
27301,0.04,0.03
27302,0.09,0.67
27303,0.07,0.27
27304,0.08,0.84
27305,0.07,0.12
27306,0.24,0.57
27307,0.73,0.82
27308,0.15,0.29
27309,0.73,0.97
27310,0.06,0.28
27311,0.1,0.35
27312,0.16,0.47
27313,0.03,0.13
27314,0.04,0.07
27315,0.04,0.22
27316,0.32,0.67
27317,0.21,0.26
27318,0.18,0.41
27319,0.34,0.83
27320,0.26,0.71
27321,0.07,0.75
27322,0.42,0.49
27323,0.04,0.48
27324,0.19,0.66
27325,0.62,0.95
27326,0.07,0.6
27327,0.29,0.37
27328,0.33,0.43
27329,0.08,0.22
27330,0.07,0.59
27331,0.17,0.18
27332,0.14,0.87
27333,0.55,0.73
27334,0.04,0.05
27335,0.15,0.23
27336,0.16,0.06
27337,0.38,0.66
27338,0.24,0.53
27339,0.27,0.36
27340,0.0,0.12
27341,0.22,0.76
27342,0.21,0.58
27343,0.05,0.06
27344,0.39,0.42
27345,0.1,0.21
27346,0.36,0.88
27347,0.79,0.84
27348,0.01,0.3
27349,0.1,0.28
27350,0.08,0.88
27351,0.5,0.82
27352,0.11,0.36
27353,0.09,0.18
27354,0.24,0.7
27355,0.29,0.39
27356,0.28,0.75
27357,0.09,0.42
27358,0.34,0.59
27359,0.35,0.68
27360,0.19,0.63
27361,0.06,0.83
27362,0.24,0.48
27363,0.07,0.18
27364,0.05,0.41
27365,0.32,0.68
27366,0.34,0.63
27367,0.29,0.45
27368,0.03,0.61
27369,0.08,0.09
27370,0.06,0.81
27371,0.19,0.34
27372,0.07,0.18
27373,0.71,0.83
27374,0.03,0.22
27375,0.14,0.81
27376,0.35,0.33
27377,0.25,0.57
27378,0.03,0.14
27379,0.03,0.19
27380,0.27,0.82
27381,0.04,0.45
27382,0.11,0.48
27383,0.07,0.6
27384,0.06,0.47
27385,0.11,0.97
27386,0.17,0.83
27387,0.48,0.77
27388,0.15,0.36
27389,0.05,0.2
27390,0.01,0.05
27391,0.28,0.65
27392,0.84,0.8
27393,0.03,0.05
27394,0.11,0.44
27395,0.62,0.52
27396,0.09,0.14
27397,0.81,0.96
27398,0.19,0.74
27399,0.22,0.39
27400,0.15,0.63
27401,0.32,0.44
27402,0.26,0.71
27403,0.02,0.15
27404,0.18,0.32
27405,0.61,0.88
27406,0.06,0.15
27407,0.08,0.22
27408,0.11,0.51
27409,0.75,0.91
27410,0.04,0.12
27411,0.09,0.27
27412,0.22,0.76
27413,0.09,0.35
27414,0.52,0.73
27415,0.06,0.43
27416,0.09,0.32
27417,0.32,0.71
27418,0.3,0.29
27419,0.67,0.9
27420,0.03,0.18
27421,0.26,0.42
27422,0.34,0.74
27423,0.06,0.31
27424,0.09,0.52
27425,0.12,0.64
27426,0.12,0.29
27427,0.05,0.32
27428,0.09,0.08
27429,0.49,0.31
27430,0.1,0.54
27431,0.12,0.63
27432,0.26,0.5
27433,0.15,0.77
27434,0.06,0.2
27435,0.24,0.43
27436,0.05,0.1
27437,0.12,0.09
27438,0.02,0.12
27439,0.24,0.43
27440,0.16,0.11
27441,0.77,0.87
27442,0.4,0.73
27443,0.04,0.2
27444,0.09,0.1
27445,0.06,0.08
27446,0.29,0.19
27447,0.08,0.28
27448,0.12,0.62
27449,0.27,0.81
27450,0.26,0.72
27451,0.02,0.14
27452,0.07,0.18
27453,0.21,0.84
27454,0.12,0.46
27455,0.17,0.44
27456,0.18,0.52
27457,0.01,0.14
27458,0.05,0.39
27459,0.14,0.18
27460,0.72,0.89
27461,0.14,0.18
27462,0.05,0.4
27463,0.13,0.29
27464,0.45,0.57
27465,0.84,0.94
27466,0.01,0.11
27467,0.06,0.29
27468,0.07,0.49
27469,0.12,0.52
27470,0.67,0.83
27471,0.11,0.85
27472,0.35,0.67
27473,0.2,0.29
27474,0.15,0.4
27475,0.02,0.09
27476,0.13,0.53
27477,0.05,0.17
27478,0.11,0.64
27479,0.12,0.24
27480,0.36,0.72
27481,0.59,0.72
27482,0.44,0.31
27483,0.55,0.71
27484,0.2,0.87
27485,0.15,0.7
27486,0.21,0.28
27487,0.15,0.81
27488,0.71,0.79
27489,0.88,0.66
27490,0.13,0.38
27491,0.4,0.44
27492,0.03,0.37
27493,0.2,0.83
27494,0.26,0.63
27495,0.22,0.33
27496,0.01,0.13
27497,0.15,0.18
27498,0.18,0.66
27499,0.11,0.94
27500,0.2,0.82
27501,0.09,0.24
27502,0.14,0.49
27503,0.07,0.67
27504,0.02,0.09
27505,0.02,0.1
27506,0.25,0.68
27507,0.18,0.23
27508,0.28,0.15
27509,0.1,0.41
27510,0.48,0.36
27511,0.14,0.54
27512,0.08,0.26
27513,0.2,0.63
27514,0.2,0.48
27515,0.53,0.55
27516,0.54,0.75
27517,0.07,0.05
27518,0.72,0.9
27519,0.1,0.07
27520,0.02,0.07
27521,0.07,0.33
27522,0.14,0.19
27523,0.02,0.14
27524,0.2,0.58
27525,0.07,0.37
27526,0.29,0.65
27527,0.01,0.95
27528,0.46,0.86
27529,0.18,0.74
27530,0.05,0.1
27531,0.05,0.08
27532,0.05,0.88
27533,0.39,0.5
27534,0.09,0.16
27535,0.08,0.7
27536,0.15,0.3
27537,0.48,0.76
27538,0.44,0.52
27539,0.36,0.75
27540,0.36,0.27
27541,0.72,0.92
27542,0.0,0.09
27543,0.57,0.63
27544,0.16,0.4
27545,0.13,0.15
27546,0.39,0.59
27547,0.09,0.22
27548,0.17,0.86
27549,0.08,0.81
27550,0.19,0.26
27551,0.22,0.55
27552,0.03,0.78
27553,0.15,0.51
27554,0.33,0.36
27555,0.11,0.12
27556,0.21,0.65
27557,0.33,0.87
27558,0.03,0.24
27559,0.23,0.72
27560,0.44,0.67
27561,0.5,0.72
27562,0.31,0.79
27563,0.25,0.63
27564,0.33,0.35
27565,0.1,0.27
27566,0.24,0.41
27567,0.08,0.53
27568,0.39,0.86
27569,0.35,0.55
27570,0.39,0.73
27571,0.04,0.09
27572,0.0,0.04
27573,0.12,0.18
27574,0.28,0.63
27575,0.06,0.29
27576,0.0,0.14
27577,0.12,0.38
27578,0.3,0.48
27579,0.12,0.44
27580,0.18,0.68
27581,0.08,0.21
27582,0.06,0.09
27583,0.01,0.15
27584,0.6,0.66
27585,0.14,0.45
27586,0.52,0.84
27587,0.06,0.78
27588,0.11,0.23
27589,0.08,0.51
27590,0.11,0.57
27591,0.13,0.68
27592,0.03,0.07
27593,0.04,0.09
27594,0.14,0.6
27595,0.07,0.21
27596,0.13,0.1
27597,0.13,0.28
27598,0.18,0.35
27599,0.39,0.67
27600,0.09,0.53
27601,0.17,0.56
27602,0.75,0.84
27603,0.07,0.09
27604,0.04,0.42
27605,0.41,0.48
27606,0.18,0.38
27607,0.41,0.54
27608,0.19,0.61
27609,0.25,0.67
27610,0.38,0.73
27611,0.34,0.23
27612,0.03,0.64
27613,0.78,0.95
27614,0.13,0.38
27615,0.23,0.9
27616,0.04,0.1
27617,0.34,0.43
27618,0.29,0.59
27619,0.25,0.27
27620,0.28,0.54
27621,0.19,0.3
27622,0.62,0.98
27623,0.08,0.73
27624,0.23,0.72
27625,0.03,0.5
27626,0.07,0.18
27627,0.72,0.82
27628,0.08,0.74
27629,0.04,0.11
27630,0.39,0.76
27631,0.14,0.31
27632,0.05,0.36
27633,0.58,0.65
27634,0.18,0.33
27635,0.14,0.34
27636,0.41,0.79
27637,0.14,0.11
27638,0.28,0.41
27639,0.02,0.34
27640,0.54,0.63
27641,0.38,0.46
27642,0.4,0.6
27643,0.06,0.14
27644,0.09,0.58
27645,0.12,0.15
27646,0.08,0.35
27647,0.21,0.24
27648,0.2,0.08
27649,0.28,0.31
27650,0.14,0.65
27651,0.57,0.8
27652,0.2,0.36
27653,0.06,0.15
27654,0.27,0.51
27655,0.16,0.43
27656,0.15,0.2
27657,0.41,0.29
27658,0.11,0.47
27659,0.02,0.06
27660,0.27,0.37
27661,0.14,0.22
27662,0.05,0.33
27663,0.3,0.89
27664,0.14,0.12
27665,0.57,0.56
27666,0.09,0.76
27667,0.03,0.14
27668,0.9,0.97
27669,0.25,0.82
27670,0.54,0.97
27671,0.13,0.85
27672,0.0,0.18
27673,0.06,0.27
27674,0.09,0.54
27675,0.58,0.73
27676,0.21,0.84
27677,0.05,0.14
27678,0.24,0.3
27679,0.08,0.39
27680,0.8,0.9
27681,0.03,0.1
27682,0.05,0.76
27683,0.16,0.63
27684,0.09,0.16
27685,0.03,0.1
27686,0.27,0.34
27687,0.13,0.14
27688,0.09,0.65
27689,0.68,0.96
27690,0.68,0.91
27691,0.7,0.93
27692,0.05,0.31
27693,0.23,0.62
27694,0.07,0.46
27695,0.18,0.42
27696,0.1,0.71
27697,0.71,0.82
27698,0.27,0.46
27699,0.03,0.15
27700,0.15,0.53
27701,0.27,0.49
27702,0.3,0.36
27703,0.06,0.02
27704,0.02,0.1
27705,0.37,0.68
27706,0.12,0.83
27707,0.08,0.31
27708,0.32,0.56
27709,0.26,0.32
27710,0.08,0.17
27711,0.66,0.79
27712,0.07,0.03
27713,0.03,0.15
27714,0.18,0.19
27715,0.82,0.71
27716,0.31,0.48
27717,0.23,0.14
27718,0.12,0.32
27719,0.0,0.05
27720,0.07,0.32
27721,0.43,0.42
27722,0.23,0.34
27723,0.21,0.88
27724,0.04,0.25
27725,0.03,0.41
27726,0.19,0.36
27727,0.24,0.91
27728,0.47,0.43
27729,0.05,0.18
27730,0.78,0.74
27731,0.85,0.94
27732,0.06,0.93
27733,0.03,0.23
27734,0.08,0.39
27735,0.36,0.55
27736,0.08,0.23
27737,0.1,0.65
27738,0.49,0.91
27739,0.64,0.76
27740,0.04,0.39
27741,0.23,0.61
27742,0.14,0.52
27743,0.53,0.78
27744,0.04,0.36
27745,0.63,0.86
27746,0.12,0.77
27747,0.08,0.25
27748,0.24,0.28
27749,0.18,0.68
27750,0.28,0.25
27751,0.09,0.26
27752,0.35,0.66
27753,0.07,0.12
27754,0.27,0.71
27755,0.9,0.94
27756,0.15,0.25
27757,0.05,0.05
27758,0.05,0.81
27759,0.08,0.16
27760,0.37,0.8
27761,0.17,0.8
27762,0.12,0.15
27763,0.03,0.57
27764,0.31,0.45
27765,0.12,0.5
27766,0.69,0.84
27767,0.49,0.75
27768,0.19,0.14
27769,0.18,0.36
27770,0.05,0.57
27771,0.06,0.54
27772,0.79,0.86
27773,0.14,0.38
27774,0.19,0.23
27775,0.16,0.27
27776,0.02,0.1
27777,0.12,0.44
27778,0.15,0.28
27779,0.3,0.19
27780,0.14,0.83
27781,0.03,0.13
27782,0.89,0.94
27783,0.13,0.65
27784,0.09,0.24
27785,0.07,0.32
27786,0.09,0.24
27787,0.09,0.21
27788,0.04,0.11
27789,0.75,0.84
27790,0.6,0.71
27791,0.07,0.34
27792,0.08,0.58
27793,0.13,0.12
27794,0.12,0.24
27795,0.38,0.74
27796,0.16,0.47
27797,0.52,0.65
27798,0.24,0.26
27799,0.12,0.13
27800,0.26,0.38
27801,0.04,0.31
27802,0.69,0.94
27803,0.03,0.02
27804,0.61,0.84
27805,0.13,0.28
27806,0.34,0.68
27807,0.14,0.75
27808,0.19,0.36
27809,0.49,0.91
27810,0.03,0.2
27811,0.03,0.15
27812,0.04,0.18
27813,0.24,0.38
27814,0.11,0.27
27815,0.11,0.4
27816,0.48,0.63
27817,0.11,0.39
27818,0.16,0.73
27819,0.14,0.24
27820,0.55,0.52
27821,0.1,0.3
27822,0.13,0.26
27823,0.38,0.42
27824,0.14,0.74
27825,0.21,0.35
27826,0.24,0.62
27827,0.06,0.08
27828,0.03,0.17
27829,0.02,0.14
27830,0.24,0.27
27831,0.12,0.53
27832,0.21,0.54
27833,0.27,0.42
27834,0.59,0.75
27835,0.3,0.75
27836,0.18,0.81
27837,0.63,0.86
27838,0.05,0.51
27839,0.06,0.22
27840,0.28,0.56
27841,0.26,0.39
27842,0.39,0.7
27843,0.04,0.47
27844,0.11,0.93
27845,0.14,0.67
27846,0.18,0.22
27847,0.07,0.57
27848,0.69,0.73
27849,0.14,0.64
27850,0.15,0.19
27851,0.47,0.35
27852,0.17,0.63
27853,0.09,0.14
27854,0.18,0.71
27855,0.05,0.48
27856,0.3,0.8
27857,0.33,0.81
27858,0.55,0.91
27859,0.75,0.87
27860,0.15,0.73
27861,0.02,0.17
27862,0.2,0.24
27863,0.23,0.31
27864,0.05,0.28
27865,0.32,0.54
27866,0.82,0.87
27867,0.58,0.65
27868,0.52,0.88
27869,0.05,0.47
27870,0.25,0.24
27871,0.25,0.62
27872,0.12,0.08
27873,0.16,0.11
27874,0.22,0.75
27875,0.27,0.55
27876,0.16,0.12
27877,0.25,0.64
27878,0.1,0.76
27879,0.11,0.61
27880,0.05,0.2
27881,0.04,0.66
27882,0.07,0.3
27883,0.06,0.13
27884,0.09,0.19
27885,0.01,0.07
27886,0.16,0.18
27887,0.37,0.5
27888,0.17,0.45
27889,0.05,0.23
27890,0.1,0.39
27891,0.13,0.48
27892,0.13,0.15
27893,0.05,0.27
27894,0.36,0.31
27895,0.21,0.67
27896,0.1,0.48
27897,0.02,0.04
27898,0.1,0.1
27899,0.07,0.51
27900,0.45,0.83
27901,0.05,0.09
27902,0.07,0.25
27903,0.15,0.23
27904,0.27,0.41
27905,0.08,0.19
27906,0.04,0.63
27907,0.71,0.97
27908,0.29,0.65
27909,0.16,0.34
27910,0.13,0.55
27911,0.48,0.66
27912,0.07,0.57
27913,0.05,0.38
27914,0.16,0.4
27915,0.06,0.37
27916,0.22,0.47
27917,0.11,0.46
27918,0.13,0.91
27919,0.11,0.47
27920,0.26,0.7
27921,0.15,0.58
27922,0.52,0.64
27923,0.15,0.82
27924,0.18,0.26
27925,0.0,0.05
27926,0.29,0.25
27927,0.08,0.18
27928,0.49,0.73
27929,0.07,0.87
27930,0.19,0.28
27931,0.84,0.88
27932,0.05,0.16
27933,0.04,0.35
27934,0.43,0.8
27935,0.2,0.76
27936,0.2,0.6
27937,0.78,0.89
27938,0.03,0.21
27939,0.04,0.11
27940,0.0,0.11
27941,0.03,0.2
27942,0.01,0.24
27943,0.05,0.56
27944,0.33,0.33
27945,0.42,0.43
27946,0.11,0.17
27947,0.62,0.7
27948,0.02,0.2
27949,0.05,0.42
27950,0.06,0.88
27951,0.54,0.72
27952,0.07,0.86
27953,0.17,0.54
27954,0.09,0.79
27955,0.04,0.78
27956,0.54,0.85
27957,0.08,0.09
27958,0.53,0.73
27959,0.23,0.33
27960,0.26,0.56
27961,0.08,0.24
27962,0.67,0.86
27963,0.1,0.24
27964,0.0,0.1
27965,0.04,0.11
27966,0.44,0.74
27967,0.06,0.08
27968,0.26,0.4
27969,0.38,0.79
27970,0.24,0.26
27971,0.08,0.6
27972,0.13,0.42
27973,0.45,0.77
